caption,title
Ashley's Allure gown had an exposed back with scalloped lace detailing and a beaded sash.,Lace Detailed Bridal Gown
Greenery and peach and white blossoms decorated the aisle and the pergola that Carly and Kevin said their vows under.,Outdoor Garden Ceremony Under Pergola
Antique vases filled with roses in the couple's wedding colors spruced up the table that sat all 27 guests.,Rose Centerpieces
"""Our altar had lots of wood branches and pieces placed together to form a point,"" says Sara. ""We decorated this with an ivory draped linen and a very labor-intensive project my maid of honor and I took on. We draped over 1,500 small wax paper cones across the altar backdrop. This was probably the most work on a DIY project I've ever done!""",Rustic Tree Branch Arbor in the Woods
"Monochromatic centerpieces of orchids, tulips, stock, hydrangeas and roses were accented with white candles.",White Centerpieces
"The couple had a difficult time finding a wedding location until they stumbled on this rustic private residence that had the facilities fit for an outdoor wedding and an indoor reception, just as they'd hoped.",The Ceremony
"Tall centerpieces of white branches, crystal vines, and hanging votive candles added drama to the room.",The Reception Decor
The groomsmen wore white daisies and green hydrangeas on their lapels.,Daisy Boutonniere
"Christina and Zach exchanged vows in the botanical garden's White Garden, which was surrounded by manicured green hedges. ""We felt like we were in our own secret garden,"" Christina says. ""The space was already naturally beautiful with the white flowers climbing over the trellis."" The couple decorated simply by adding wooden folding chairs and a rose petal aisle.",Secret Garden Ceremony
"Bridesmaids wore pale peach J.Crew dresses with bauble necklaces and a pared-down version of Casey's bouquet, still featuring peonies, ranunculus, stock, Queen Anne's lace and greenery.",Peach J.Crew Bridesmaid Dresses with Statement Necklace
"Lynn ordered adorable black bow tie escort cards for the wedding, and had their calligrapher use white ink to write each guest name onto the fronts and backs. ""They turned out phenomenal and we received so many compliments on them,"" she says. ""Some guests still have them.""",Black Bow-Tie-Shaped Escort Cards
"Riegan let her bridesmaids pick their own dresses, with the requirements of it being floor-length and within the rose-gold palette. They all ended up matching beautifully!",Pink Floor-Length Bridesmaid Dresses
Mallory and Matthew didn't want the decorations to distract from their nuptials and purposefully selected simple yet southern decor. Draped burlap and toile bows with sprigs of cotton added personality without overpowering the intimate ceremony at Salem Baptist Church.,Simple Southern Ceremony Decor
"To go with the day's bohemian undertone, Kenzi had each of her eight bridesmaids choose their own dresses, requesting only that they stick to a palette of soft, neutral hues. To create a cohesive look, the women wore matching gold flats, knotted Gatsby-inspired necklaces and fresh white flowers in their hair.",Mismatched Neutral Bridesmaid Dresses
Square programs with orange print and a floral motif were fastened to Hawaiian-style fans and placed on each seat.,The Programs
,Romantic Updo
,Coral Bouquet with Roses and Hypericum Berries
Yellow personalized koozies were available for guests to take at the bar.,Yellow Koozie Favors
Meghan's something old was her mother's classic veil tucked simply into her sleek chignon.,Vintage Long Veil
Wheatgrass was the backdrop for the escort card display. The bridesmaids also placed their vibrant bouquets in vases behind the display to add a bright burst of pink.,The Escort Cards
Caitlin's florist- Petal Pusher- created this romantic stage for the ceremony with wrought iron candelabras and floral bouquets.,Outdoor Ceremony
"Their wedding cake from Amy Beck Cake Design LLC was covered with cascading red and pink roses, blue hydrangeas and fuchsia orchids along the front. Purple piped designs on either side accentuated it while rhinestone ribbons wrapped around every layer.","Wedding Cake with Colorful, Cascading Roses"
"Vintage glassware, peacock feathers, succulents and birdcages filled with pillar candles covered the bridal party table.",Birdcage Wedding Centerpieces
,Bride and Groom Embrace the Cold Snow
Tall vases of hydrangeas and orchids topped the long head table.,Hydrangea and Orchid Centerpieces
"Sugar roses topped the five tier white cake, which was inspired by Erin's gown and bouquet.",White Wedding Cake
"The busy bouquet made up of colorful roses, craspedia, succulents and feathers created an arrangement that Kaitlyn carried down the aisle. The vibrant shades definitely created a statement against her classic white wedding dress.","Succulent, Feather and Flower Bouquet"
"Vintage-inspired accents, like the framed table numbers, added old-world charm to the room.",Vintage-Inspired Framed Table Numbers
"Kimberly wore a strapless A-line wedding dress from Something New Boutique in Colorado Springs that was designed by the owner herself. ""Though already in love with the dress, I was completely sold on it when told that some of the proceeds of that particular dress purchase would go toward battling sex trafficking, which is a cause dear to both Charles and myself along with the boutique owner,"" Kimberly says.",Locally Designed Strapless A-Line Wedding Dress
,Hot Pink and Green Floral Chair Decoration
"Harry's father, a minister, married the couple at the Briscoe Chapel, which needed little decor--just some altar arrangements.",Briscoe Manor Wedding Ceremony
"Torrance Bakery created an exceptionally personalized cake for Amanda and Thadd, complete with a model of their dog, Baxter, taking a bite at the bottom.",Whimsical Patterned Wedding Cake
"Joe's sister Jane designed and printed the invitations on a home printer. The logo? A tiny purple heart. Esther describes them as ""simple but elegant.""",Simple White Invitations
"""I wanted to surprise Yuri, so I ordered three cakes with different flavors,"" says Tammie, who worked with For Goodness Cake bakery. ""It was so much fun coming up with the flavor combinations and looks, and my baker, Jen, was amazing.""",Elegant Trio of Wedding Cakes on Gold Stands
Ayse carried a purple and white bouquet of mixed seasonal blooms including white hydrangeas and baby's breath.,Spring Bridal Bouquet
"Cecilia wore a custom-made, pink dress designed by Project Runway winner Leanne Marshall. ""I knew I wanted pink and that it had to be unique,"" Cecilia says. ""I wanted it to make more of a fashion statement than a traditional wedding dress would.""",Pink Wedding Dress by Leanne Marshall
,Teal Menu Cards
"While pink and ivory were the predominate colors throughout the evening, gilded accents were woven throughout to deliver an undeniably glamorous edge to the decor. Champagne table linens and gold candlesticks introduced a note of grandeur to the tables, while brass-trimmed glass boxes, shimmery framed table numbers and flickering candlelight had a distinct vintage flair. ""I loved that each table was truly different and that nothing matched,"" Christina says. ""The flower arrangements and even the candelabras were all different sizes.""",Gilded Candlesticks and Gold Tablecloths
"Simplicity was key when it came to the ceremony decor, with Alyse and Dimitry adding a few understated bundles of peach-colored blooms to alternating rows lining the aisle. But for their huppah, the couple decided to go all out, making the traditional detail the focal point of the room. The Special Event Florist used tulips, hydrangeas, stock, roses and lilies in a cheerful, spring-inspired color palette to create a striking garland that cascaded down the birch structure, infusing the ballroom with energy and life.",Lush Peach and Pink Floral Huppah
Flower girls were sweet in blush dresses with cap sleeves and lace overlays. Each girl donned a flower crown with eucalyptus leaves.,Blush Flower Girl Look
"Each of Andrea's seven bridesmaids wore a floral print Donna Ricco dress bought off the rack at Nordstrom. ""I instantly loved the colors and print and used the palette as the inspiration for our entire wedding,"" Andrea says.",Floral Donna Ricco Bridesmaid Dresses
,Custom Wedding Dress
"Though the style maven had a clear vision (pink) for the event at the United Nations, Rosie says, once I started working at The Knot, I realized everyone else loved pink too. So she added orange and pumped up the shade to a hot pink -- a perfect combo for the bold, Brooklyn-born bride.",The Centerpieces
"Sommer decided early on in the wedding planning process that she waned to leave the reception in a cream, vintage Volkswagen bus. She and Galen were not able to find any rental companies that had such a car, but by luck, they discovered a friend of a neighbor who had their perfect ride!",Cream Volkswagen Bus Reception Grand Exit
"Christie and Owen rented a clear, acrylic aisle that was placed over the pool at the center of the site. ""Essentially, we walked across water,"" the bride explains. ""It was ethereal, but scary too.""",The Ceremony Decor
"Vibrant red garden roses, white dahlias and greens created a wildflower-like look for the centerpieces.",Red and White Centerpieces
"The ""no flowers"" rule didn't stop Tracy from having a fabulous bouquet. She turned to Etsy.com for creative ideas and came across a bouquet made entirely of candy-colored buttons.",Button Wedding Bouquet
Real peonies transformed the white ruffle cake. The top tier was entirely gluten-free.,White Ruffled Cake
"The getaway bicycle was decorated with fresh orange flowers, streamers and orange soda cans.",Tandem Bicycle Exit
The tent at Highgrove was lavishly decorated with vibrant purple and chocolate brown hues.  Tables were draped in satin purple linens with kiwi satin napkins that complemented the green in the floral arrangements.,The Reception
"Wildflower arrangements in fall hues lined one side of Jessica and Scotty's grass aisle leading up to the Wedding Tree at Vinewood Plantation in Newnan, Georgia.",Wildflower-Inspired Fall Floral Aisle Decoration
The groom wore a classic black tuxedo with funky green socks.,Groom Wearing Funky Socks
Guests were treated with DIY seed favors and sparklers for the couple's exit.,DIY Favors
"The programs were designed to look just like the wedding invitations. They incorporated the same compass logo and ""typewriter"" font.",Compass Ceremony Programs
"""We fell in love with the scenery and atmosphere right when we saw the Gerry Ranch,"" Ashley says. ""We knew it was the right one for us, especially because we wanted everything to be outdoors.""",Gerry Ranch Vineyard Wedding Location
Round tables were set up inside the barn. Beige and pale-green linens kept the natural look going.,Wilson Vineyards Wedding
"The ceremony and reception took place at Three Fields Farms in Keene, KY.",Barnyard Venue
"Becca's cascade bridal bouquet had a fresh, garden feel with white cornflower, orchids and roses in shades of ivory, white and green. The bouquet was arranged on a gilded tussy mussy, a Victoria era metal hand-held vase.",Ivory and Green Cascade Bridal Bouquet
The couple handmade candles to give as favors to their guests.,Homemade Candle Favors
"Megan's down-the-aisle style was a 180-degree departure from the form-fitting gown she had always imagined herself in, with its classic A-line silhouette, skinny straps and elegant, fuss-free feel. ""Just a reminder for any bride-to-be to keep an open mind and trust your consultant-they know what they're doing,"" Megan says. For his own ""I do"" ensemble, Noah sported a J.Crew Ludlow suit in Harbor Blue Italian worsted wool, caramel-colored oxford shoes and a pink Liberty print bow tie.",Navy J.Crew Suit and Summery Kate McDonald A-Line Gown
Gorgeous sugar peonies with chartreuse leaves transformed the white-frosted cake with a Swiss dot design into an elegant centerpiece.,Swiss Dot Cake
Wheatgrass planters nestled with low centerpieces and wine-bottle table numbers created a varied display.,Rustic Place Settings
Neesann held a pink and white peony bouquet (her favorite) with an antique brooch fastened around the bouquet wrap.,White and Pink Bouquet
,Three-Tiered Sea Foam Green Cake
,Bride Photo Pose
"Amanda white wedding dress had a unique high neckline with three triangular shapes bordered by silver lining. Beading acceted the front bodice of the gown, going up toward the shoulders.",Trinity Triangular Wedding Dress Neckline
"The couple's programs were printed into newspapers with stories past and present about the couple, information about the reception and the dinner menu.",Newspaper Programs
"Caitlin's dress was beyond classic. Designed by Le Spose Di Gio and found in New York's Mark Ingram Atelier, her sheath-style dress had an architectural element with soft layers along the back that flowed into a sleek bow right above her waist. ""The texture and body of the Mikado fabric gave the dress a feeling of strength and structure, as though it could stand on its own, yet somehow, appearing delicate and feminine when worn,"" Caitlin says. ""It was characterized by a modern elegance.""",Chic Ivory Le Spose Di Gio Wedding Dress
"Now that's natural! Every table at their Trump National Golf Club reception reflected the room's white walls with garden-style white and green decor. Lush arrangements of ferns, hydrangeas, eucalyptus, roses and lisianthus overflowed from glass vases and lined the head table atop white linens.",Trump National Golf Club Natural Reception Decor
,The Reception Decor
"Dinner and dancing took place inside Over the Vines's rustic barn. Taking inspiration from the idea of a farm-to-table dinner, the couple decorated their venue with long farm tables, industrial metal chairs and garden-style floral arrangements. ""We chose a family-style meal so that guests could remain seated yet have an opportunity to create some conversation and a sense of community as they dined,"" Laurelyn says.",Farm-To-Table Dinner
,Wedding Cake on Vintage Gold Bar Cart
"The three-tier buttercream-iced cake was decorated with fresh blooms on the top and sides. The flavors consisted of carrot, pumpkin spice and almond with cream cheese, to go with the fall season.",Buttercream Wedding Cake With Fresh Flowers
,White Lace Long-Sleeve Wedding Dress
,Bridesmaid's Bouquets
"Lauren advises couples to focus on key elements and budget accordingly. ""Figure out the three most important parts of your wedding, and focus on those. ""There are so many details, traditions and expenses. You have to make sure you're creating the day you want and within your budget, meaning things are going to have to get cut or you'll need creative solutions. Know what you're willing to compromise on and what you're not.""","Elegant, Chic Seattle Wedding"
"Places were set with the a sophisticated menu for the seated dinner with the card itself held in a taupe rectangular card also made of heavy card stock that retained the white menu by the corners with fabric that folded over. When you flipped the card over, embossed in silver with a decorative type read 'Menu' and I took a bunch of extra menus home with me so in the future if I want to recreate the menu and have a dinner party, I'll have the menu from my wedding day to display! says Leslie.",Formal Menu Card
"Creative and purposeful touches were incorporated into the design of the reception tablescapes, with each element speaking to the couple's relationship and Nina's Thai roots. Instead of tablecloths, the couple covered the tables with mango paper placements from Thailand and displayed the table numbers, written in Thai and English numerals, on playful bicycle and Thai tuk-tuk figurines.",Playful Bicycle Table Accents
"The couple decorated the secluded shady spot simply with cream roses and greenery tied to the tree trunks with white silk ribbon. Mareesa and Marlon exchanged traditional vows and completed the ceremony by jumping the broom. ""We did this to honor and respect our ancestors, their legacy, and our rich African and African-American heritage,"" the bride explains. ""It also symbolizes the coming together of both families and our commitment to each other as husband and wife."" At the conclusion of the ceremony, the newlyweds walked back up the aisle to the song ""Signed, Sealed, Delivered.""",The Ceremony
,Low Bun Bridal Hairstyle
"Zane knew right away that he wanted to wear suspenders and a bow tie. His vintage-inspired style fit the feel of Three Points Ranch, down to the Airstream trailers where he and Kylie got ready.",Vintage-Inspired Groom in Suspenders and Bow Tie
"Greener than Lindsay's bouquet, the bridesmaids' blooms included roses, berries, and hydrangeas.",Green Bridesmaid Bouquet
,White Rose Bouquet
"A Squad Bake Shop created Faith and Brent's coconut wedding cake covered in white flowers and greenery. According to Faith, it was as mouthwatering as it looked. ""When we went to the cake tasting, all the flavors were so delicious that we couldn't give any up,"" Faith says. ""We decided that for some extra dessert, we would do cake bites based off the small-bite samples that were at the tasting.""",Natural White Wedding Cake With Wild Greens and Flowers
"Jillian and Adam exchanged vows in a secluded, shady part of the San Diego Botanic Garden in Encinitas, California. ""Since it was a garden space, we didn't need too many flowers, but we had gold vases with flowers and petals down the aisle, and we decorated the arch with fabric and more flowers,"" Jillian says.",San Diego Botanic Garden Wedding Ceremony
Looped bear grass gave Ben's pink peony boutonniere a masculine edge.,The Boutonniere
,Side Bun Bridal Hairstyle
"Red, turquoise and cream paper lanterns hung from the tent where the Hindu ceremony and reception were held.","Red, White, and Blue Decor"
Megan carried an exotic fuchsia and white bouquet of mainly orchids.,Fuchsia and White Orchid Bouquet
"After a dinner of French onion soup, Caesar salad, filet mignon and champagne chicken, Sylvia and Daniel treated guests to flaming brandy vanilla ice cream, an assortment of sweets and a slice of classic wedding cake. The three-tier confection featured white cake with raspberry filling and was decorated with combed buttercream, fresh purple hydrangeas, olive-leaf accents and textured blue thistles.",Three-Tier Combed Buttercream Wedding Cake
"Kate and Mike's two-tier cake had a gold calligraphy topper that read ""Always,"" a nod to their shared love of Harry Potter.",Always Cake Topper
Kendra carried a cheerful bouquet filled with a variety of vibrant blooms including king protea and succulents.,King Protea and Succulent Bouquet
"Of course, the bridesmaids also played the part of Gatsby-esque ladies with fun accessories. Each woman wore a neutral halter-strap dress with a pleated skirt and sash along the empire waist. For some added art deco flair, they rocked bold plum lipstick, pearl headbands and refined curled hairstyles. They even matched Jaris with handmade fabric rose bouquets.",Art Deco-Style Neutral Bridesmaid Looks
"Lengths of rustic vines laced with fresh greenery stretched across the airy tent, giving the reception decor a whimsical, woodland feel while scaling down the decor to create an intimate, cozy backyard atmosphere.",Whimsical Curly Vine Tent Garlands
"Lavish flower arrangements of garden roses, lilacs, peonies, ranunculus and hydrangeas were found throughout the ceremony and reception to create the feeling of an enchanted forest.",Pink Garden Rose and Hydrangea Arrangement
"Caitlin designed the ring bearer pillow, which her mom made using yellow fabric and gray ribbon.",Ribbon Ring Bearer Pillow
"For the cutting ceremony, they ordered a small cake decorated with the Golden Gate Bridge and topped with lovebirds.",Golden Gate Bridge Cake
"""The altar was a brass frame that my planner found. and it was asymmetrically draped with greenery with a vintage chandelier hung in the middle,"" Bayley says.","Garland Wedding Arch, Hanging Chandelier"
An array of hot pink blooms and berries popped against Brian's navy lapel.,Floral Berry Boutonniere
Tables were covered with chocolate linens and a lace overlay. Gold-rimmed chargers and deep cranberry stemware added a rustic autumnal touch.,Cranberry Reception Decor
For another look Amy and Joe had rectangular tables. To complete the look the tables had small flower arrangements with west elm candles.,Rustic Farm Tables
"Serving local, organic food was a high priority for Kate and Jonah. This dessert table was made of a combination of sweets from local bakeries and homemade goodies from the bride's friends.",Dessert Table
Single blue blooms backed with greenery matched the day's decor perfectly.,Blue Floral Boutonnieres
"The escort cards were Courtney's ""special wedding project."" After hand-punching leaves from green card stock, she printed each guest's name and table number on transparent sticker paper and then tied the cards around glass bottles. The bottles were arranged on a table with vessels holding the bride and groom's signature drink: champagne lemonade.",Creative Glass Bottle Escort Cards
,Neutral Reception Decor
"Pastel-colored arrangements hung from the entrance of the barn door, greeting guests as they entered the wedding.",Pastel-Colored Floral Decor
"Miniture vintage-style gold chairs held the black-and-white escort cards. Playing on words, the couple added a sign that read, Please take a seat.",Chair Escort Cards
"After doing some serious research online, Daniel headed to Stephan's Jewelry in Santa Cruz, California, to pick out the perfect ring for Sylvia. ""Knowing my sense of style, Daniel looked for a delicate but unique ring that would stand out but wasn't too over the top,"" Sylvia says. He chose a sparkling solitaire diamond-style with intricate diamond detailing around the center stone. For wedding bands, the pair went classic, with Daniel choosing a simple platinum design and Sylvia choosing a similar style by Cartier in rose gold.",ArtCarved Diamond Solitaire Engagement Ring
,Bicycle Designed Favors
"""I was honored Andrew's family wanted me to have it,"" Audra says of her engagement ring, a beautiful family heirloom.",Antique Engagement Ring
"More than 14,000 stems of white wisteria hung from the ceiling of the dinner tent the Chicago Botanic Garden; white and gold chairs glammed up the reclaimed-wood feasting tables.",Reception Decor With Hanging Florals
Kathy's Monique Lhuillier gown had an embroidered and beaded bodice and a hand-draped skirt.,White Embroidered Gown
"Dinnerware included gold chargers paired with silver flatware. The sweetheart table centerpiece featured a long arrangement of white hydrangeas, blush roses and greenery. Ivory pillar candles covered in glass were interspersed, while votives in crystal-beaded cups accented the arrangements.","Ivory and Blush Hydrangea, Rose and Greenery Centerpiece"
"In lieu of the traditional favors, Emily and Greg donated to two charities.",Charity Wedding Favors
"To conceal an outdoor shower and to add a touch of romance to their site, a makeshift Balinese roof was created and decorated with hot pink votive candles in unique crystal holders hanging from yellow and pink ribbons.",The Ceremony Decor
,Bride Being Escorted Down the Aisle by her Mother and Father
"To honor both Beth Anne's Catholic upbringing and Allison's Jewish background, the couple read from the New Testament and stomped on a glass to symbolize the end of their lives apart. ""The last reading was 'How Falling in Love is Like Owning a Dog,' which was our hat tip to our bichon frise-shih tzu, Cody,"" Allison says.",Catholic-Jewish Fusion Wedding at 501 Union
,Milk Glass Centerpieces
"Letting Mother Nature do most of the decorating, planner Sharon Sacks chose low centerpieces and a clear tent that treated guests to unobstructed views of the rolling hills.",Outdoor Reception Decor
"The chapel aisle was decorated simply, with large ivory lanterns, candles and pink flowers gathered with ribbon and pearls.","Simple, Sweet Wedding Ceremony Decor"
The men wore white calla lilies and sprigs of lavender.,Calla Lily Boutonniere
Paula and Scott ordered tiny succulents from a local nursery and potted them in small white pots from IKEA for wedding favors. They also added decoration to the reception tables.,Succulent Wedding Favors
Strategically placed lighting made the statues stand out as part of the reception decor.,Romantic Reception Lighting
,Colorful Flag Cake
,White Flower Girl Dresses
Family and friends gathered around Whitney and Patrick for their exit as they started their new life together.,Sparkler Exit at Summerour Studio Wedding
"A vintage outdoor ""living room"" was set up beside the dance floor beneath strings of pennant flags Amanda made herself.",Outdoor Living Room
"After Brianne and Derek's sunset wedding, their 200 guests moved on to dinner and dancing in the large tree-shaded back yard of the ranch's main house. Here, the couple's vibrant color theme joined another strong design element: the square. Square beribboned lanterns hanging in the old oak trees, a square-shaped cake, and square tables, plates, and centerpiece containers created a unified, chic look that was anything but, well, square. Each table was named after a wine varietal (taking a cue from the wine country setting) and featured linens and flowers in one of the six theme colors.",The Escort Cards
,Handcrafted Birch Wedding Arbor
"One of the evening's standout details was the dance floor decor. Oleander Floral strung bistro lights over the space to create an intimate atmosphere, using four birch tree trunks to anchor them. The organic detail tied in seamlessly with the natural decor, as well as the couple's love of nature.",Birch Tree-Framed Dance Floor
Laura and Scott's Ketubah was decorated with an ornate floral and bird motif in a deep green and neutral color palette.,Ornate Painted  Ketubah
Greg and Lisa gave the groomsmen black-and-blue argyle socks to wear at the wedding. They added a bright pop of color to the guys' looks.,Argyle Groomsmen Socks
Theresa carried lavender roses and blue-petal hydrangea tied with periwinkle ribbon.,The Bridal Bouquet
"Adding color against their elegant black dresses, the bridesmaid bouquets stood out in the bold hues of orange, pink, red, and yellow and were made up of daylilies, hydrangeas, gerbera daisies, tulips, asters, peonies, and cranberries.",The Bridesmaid Bouquets
"The bride loves succulents, so she incorporated them into her bouquet along with roses, garden roses, scabiosa pods, hypericum berries and peonies.",Romantic Natural Bouquet with Air Plant
"Bora and William had a traditional religious ceremony at Immanuel Presbyterian Church in downtown Los Angeles, California.",Traditional Church Wedding Processional
Pink bursts from orchids and blue tones from hydrangeas stood out against Shelby's hand-tied bouquet of mostly white flowers.,The Bridal Bouquet
Stacey made the wedding sign by stenciling white acrylic paint onto a piece of walnut wood.,Wooden Welcome Sign
"Moments after their first kiss, the brass band they had hired as the musicians, surprised the crowd by leading all of the guests around the neighborhood to celebrate the new couple.",Wedding Celebration
The programs were attached to mini dowel rods for guests to wave while cheering as the couple walked down the aisle.,Ceremony Program Flags
,Elegant Bridal Jewelery
,The Breakers Wedding
,Toasting Glasses
,Blush Pink Rose Boutonniere
"After two dinner courses, guests went outside for a champagne intermezzo and returned to a new setup (with plum linens and crystal chargers) for the remaining courses.",Purple Place Settings
"With the help of a family friend (who happens to be a seamstress), Whitney designed her two-piece silk taffeta mermaid-style dress; the tiered ruffle skirt ended in a semi-cathedral train. Jeremy chose a traditional black tuxedo.",White Custom-Made Taffeta Gown
"A formal, religious ceremony wasn't Hitomi or Michael's style, so the couple opted instead for a short and sweet ceremony that was personal and laid-back. ""We both don't come from very religious families, so the ceremony itself lasted about five minutes--just what we wanted,"" Hitomi says. Michael's godfather officiated the event, which put a special, sentimental twist on the proceedings.",Intimate Haven's Kitchen Wedding Ceremony
"Haley's ring is an antique estate ring made from white gold with filigree detailing, inset emeralds and a 1.5 carat old mine diamond from South Africa.",Antique Estate Engagement Ring with Inset Emeralds
"At the reception, round dining tables with khaki or burlap linens and textured champagne overlays were surrounded by mahogany chiavari chairs. Centerpieces of natural greenery and orange blooms in dark wooden boxes, surrounded by gold pillar candles and potted succulents, enhanced the organic atmosphere.",Natural Orange and Green Floral Centerpiece
"Christine and John got married at the wrought iron arbor in front of Woodlawn in Alexandria, Virginia. The arbor had an abundant amount of vines and curly willow branches, along with roses, dahlias, sedum, amaranthus and berries added to the mix.",Wrought Iron Arbor Draped With Greenery
Nina wore a vintage Elie Saab gown that she found on etsy.,Vintage Elie Saab Gown
"Most of the bridesmaids wore pink floor-length Badgley Mischka dresses embellished in sequins. The maid of honor stood out wearing a Jovani dress with an open back in the same shade of pink, just without the sequins.",Pink Sequin Badgley Mischka Bridesmaid Dresses
Coral pomanders hung on every other aisle chair from black-and-white ribbons.,Pomander Ceremony Decor
,Nautical Peony Boutonniere with Gold Crab Charm
Jess and Jess were married in her family's backyard overlooking the mountains.,Montana Wedding
Elyssa and Casey purchased personalized M&M favors online at mymms.com and even had a picture of their dog printed on the tiny chocolates!,Personalized M&M Favors
"The wedding cake was designed to look like a rustic box decorated with daisies on top. In front the cake was a yellow sign that read ""Sweet Love.""",Rustic Wedding Cake with Yellow Signs
"Elana and Jamie put together all the escort cards. Wrapped in brown paper and striped string, they resembled packages that had been sent in the mail. Each one had guests' names hand-stamped and a packet of Jamie's favorite Montana Gold Tea from Missoula Tea and Spice.","Vintage, Mail-Inspired Escort Card Display"
"""We mixed classic, modern, gold and white table settings with farm tables and black bentwood chairs in two long rows,"" Anna says. ""We wanted the dinner to feel cozy and elegant at the same time.""",Black-and-White Reception in Palm Springs
"A simple bird silhouette gave the escort card envelopes a cute, rustic look and feel.",Bird Escort Cards
"With Silje and Tommy's friends and family scattered across Europe, travel was unavoidable. Instead of gathering everyone together in their Norwegian home, the pair took the opportunity to gather everyone together in the historic hills of Rome, where guests could take in the sights as well as celebrate with the couple.","Elegant Destination Wedding in Rome, Italy"
,Ceremony Decor
,Henry Ford Museum Wedding Reception
"Guests each took home small bottles of maple syrup, direct from Vermont, which were accented with leaf-shaped tags featuring the couple's monogram.",The Favors
"""I love stripes, so I started with the navy save-the-dates, which included an illustration of the Chicago skyline,"" Chrissy says. ""Plus, I always liked the idea of not sharing the full wedding color scheme until the big day, so I included only navy, white and gold in the invitations--I saved the pinks, greens and peach for an added pop of color.""",Navy and White Chicago-Inspired Invitation Suite
"""I wanted my bridesmaids to be able to pick their own dresses,"" Kendall says. ""I told them all to choose something long and Grecian in a neutral tone."" The result: gorgeous gowns that blended well together.",Neutral One-Shouldered Bridesmaid Dresses
Glass stemware wrapped in twine and filled with white roses and hydrangeas dotted the long farmhouse-style reception tables.,White Rose Centerpieces
"Having been a bridesmaid eight times, Jaime let her girls pick any short dress they wanted. For the groomsmen, there was a ""no ties allowed"" policy.",Casual Wedding Party Looks
,Miniature Succulent Escort Cards
A three-tier wedding cake was adored with hydrangeas.,Tiered Buttercream Wedding Cake with Hydrangeas
,Signature Cocktail with Paper Straw
"As a special treat for guests, Alexis and Gerry provided family and friends with gondola rides on the lake in Central Park during the cocktail hour of their New York City wedding.",The Loeb Boathouse Wedding Reception
"Moss runners and a combination of roses, garden roses, ranunculus and hydrangeas gave the reception a romantic garden feel.",Moss Table Runners
Lisa glued cards with a swirl design (Eric made it with Photoshop!) to jewelry boxes with starfish bottle stoppers. They doubled as favors.,Jewelry Box Favors
,Art Deco Style Invitations
,Purple Trellis Invitation Suite Design
"Krista and Brian treated their guests to a large dessert bar, which included indulgences like homemade marshmallows, truffles, and caramel cookies.",The Reception
"As a creative nod to the past, Morgan wrapped her yellow and green bridal bouquet in the sleeve of her mother's wedding dress. Inside the sleeve she tucked a handkerchief that every woman from her dad's side of the family has carried on their wedding day.",Heirloom Bridal Bouquet
"Lounges with a Hookah pipe, antique sofas, Moroccan rugs, lanterns, woven pillows and ottomans were set up inside and outside of the reception tent.",Hookah Lounge
,Lavender Bud Toss
,White Letterpess Invitations
Guests were welcomed to the ceremony by a bagpiper playing the couple's favorite hymns.,Live Bagpiper Ceremony Music
"A fall leaf was the background to pink roses and berzillia berries, which coordinated with the centerpieces.",Pink Wedding Boutonniere
"The bride carried a bouquet of purple flowers down the aisle, including veronica, stock flowers, hydrangeas and scabiosas.",Violet Bridal Bouquet
"Kimberly carried sunflowers, scabies, hypericum berries, roses and Veronica in her bouquet for a colorful wildflower look.",Yellow Wildflower-Inspired Bridal Bouquet
The western-themed cake was inspired by an ad in a western horse magazine and created by the bride's aunt. Wisps of wheat and clusters sunflowers decorated the cake that looked as though it was covered in authentic detailed tooled leather.,Tooled Leather Cowboy Western Wedding Cake
"Vintage vases filled with fall blooms added a vintage look to Victoria and Johnny's reception space at the Southern Railway Station in Knoxville, Tennessee.",Vintage Vase
"The flowers included mixed hues of pink, Kelsey's favorite color, accented with orange, white and pale green and teal.",Centerpiece with Vintage Jars and DIY Crochet Doilies
The ceremony took place in a portion of the St. Julien's ballroom.,Draped Ballroom Ceremony Location
"The couple took to the dance floor for their first dance when ""Adore You"" by Miley Cyrus began to play.  ""It's a meaningful song and it was our favorite concert that we attended together,"" Nick says.",Adore You First Dance Song
Wisteria purple rosette linens added texture to the colorful tablescapes.,Rossette Linens
Kate kept her makeup natural and wore her hair in loosely tied back curls.,Natural Curl Hairdo
"Piped with a deep purple ivy pattern, the four-tiered buttercream cake was topped with fresh flowers and had flavors like raspberry champagne, bittersweet chocolate, and white chocolate with orange and pistachio.",The Cake
"Dahlias, roses and hydrangeas made for vibrant, tall floral decor.",Red and Purple Dahlia Centerpiece
"The ceremony took place outside in the garden courtyard at Millwick, where ivy walls, lush ferns and large succulents covered the wall where Angela and Clayton shared their first kiss.",Millwick Garden Courtyard Ceremony Space
,The Huppah
"The white cake made up of four round tiers had buttercream icing covering the surface, filled with flavors of vanilla bean with hazelnut cream filling and vanilla bean with raspberry filling. Starting from the top, fresh dahlias and roses draped down the side of the cake, positioned on top of a silver stand for all to admire (and eventually eat).",Tiered Wedding Cake on Silver Stand
"Drawing inspiration from their West Coast theme, Sylvia and Daniel chose an elegant watercolor design for their invitations in soft pastel hues from Wedding Paper Divas. For the programs, place cards and other signage, the pair went for a more formal look and harnessed Daniel's design skills to pull it all together.","Whimsical, Romantic Watercolor Invitations"
,Short Casual Bridesmaid Dresses
